user,community
553451866,0
abu_waras,1
prabowo,1
1300748401890320384,2
bahlilngntot,2
tanyakanrl,2
1522517097502322688,1
wagimandeep212_,1
1910375924,3
ssrieyono,3
yusuf_dumdum,3
1091576835849125888,4
ardisatriawan,4
1294656329085095936,5
gelarprakosa,5
809082996,6
pelatiht1dur,6
160464450,7
barengwarga,7
202089357,8
comstelation,8
1603647461004042240,1
mas_veel,9
jokowi,1
gibran_tweet,1
1884976589039190016,10
ahyanudin38985,10
1282183125053759488,11
samhugget,11
ktbrizman,11
bjakara171cgk,11
satriyotutuko,1
grok,12
andi_achilles,11
rahadi0816,11
hadilocoboy,11
indopopbase,13
listyosigitp,11
del_paijo,11
44oktiva,11
rejal_ajib,11
aurakasih87,11
dualipa,11
1608912362236428288,14
muriscoofficial,14
multibank_io,14
mavryknetwork,14
1273780777600204800,15
duycapil,15
1376230200,16
preciosakanti,16
1725390341300420608,17
oposisicerdas,17
1725818592946704384,7
naydonuts,7
1552912946569019392,18
bospurwa,1
164934677,19
joehelmiy,19
strategi_bisnis,19
1605701171142086656,12
nabiylarisfa,12
1039193255907225600,20
heyybublee,20
1964582853641121792,21
fynnnbiasalah,21
coipp,21
1884943978086490112,22
recta02,22
1812214781748838400,23
oggyzilly43173,23
narasinewsroom,23
363380931,9
bengkeldodo,9
mirvandarwin1,9
kimberley_ps08,9
edysularno96489,9
abang_regar,9
adri_zizie,9
dakotageorgy,9
partono_adjem,9
gustavssondhela,9
tham878,9
63354728,24
adamk_27,24
1725661893698912256,25
verich62,25
sant_sugeng,25
p3h2022,25
arsipaja,25
1846749067864625152,1
gladysfaradisa,1
1793512707293093888,26
litmercury,26
1541952285080551424,27
msaid_didu,28
1050969774258192384,29
somexthread,29
1712492837231824896,30
nenx_kuchienx,30
1795834721269620736,31
astrocyborg,31
1674768159390449664,32
kasisiur1,32
1018777916698607616,7
mikuroq,7
1860874114921369600,25
nurman307,25
tekarok007,33
jparidjal,25
1437109539942191104,1
ragilsemar,1
1464358684214145024,23
kompascom,23
tribunnews,23
jktinfo,23
